,mutation_id,file,confidence,mutation_point_x,mutation_point_y,rel_intensity_before,rel_intensity_after
37,38,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN38.npy,0.7318045,13.201285973959228,6.012499999999999,0.06445504879340196,0.10214755684137344
38,39,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN39.npy,0.7320608,16.533685495696012,23.255058693776732,0.28485421172707076,0.06318383663892746
39,40,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN40.npy,0.84611255,13.376807894724346,8.784046404903863,0.07651640454012618,0.27663910388946533
40,41,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN41.npy,0.7764488,14.455660642150436,21.069255515583908,0.1606891129993216,0.097747802734375
41,42,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN42.npy,0.7498393,16.879488649392375,22.869271206874444,0.2337835799410747,0.1338251531124115
42,43,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN43.npy,0.7031405,14.90968433508822,20.451963638566713,0.16246844020198498,0.2221919298171997
43,44,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN44.npy,0.7550118,13.431964426509964,7.25,0.23032263935986397,0.15942004323005676
44,45,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN45.npy,0.7300906,12.935258113047754,8.00376858458775,0.24868888274718787,0.2648133635520935
45,46,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN46.npy,0.69348407,12.674296476136579,6.0646308988427435,0.2172755549813215,0.2634570896625519
46,47,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN47.npy,0.5725219,15.057103201351978,10.706029583570437,0.15504811176468714,0.2070039063692093
47,48,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN48.npy,0.45571095,12.512836511957278,6.213098885928933,0.2469357410963406,0.14193838834762573
48,49,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN49.npy,0.42064694,17.376122154324456,22.297872938338728,0.23590158364202227,0.17789536714553833
49,50,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN50.npy,0.24739185,15.296886101004377,5.0,0.14684789562298178,0.05121394246816635
50,51,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN51.npy,0.34065068,16.27704247209898,14.729343839920519,0.14815239926426282,0.032777972519397736
51,52,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN52.npy,0.34892875,12.771651530792099,9.392678626575059,0.10468377574460512,0.1662442535161972
52,53,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN53.npy,0.4027079,15.994289881232271,21.75910312219496,0.09019246838318143,0.10485144704580307
53,54,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN54.npy,0.28120694,15.099579827517005,20.15830269558662,0.18222997647755287,0.09831880778074265
54,55,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN55.npy,0.26607203,14.715491483336049,11.052722903411285,0.17288264483287463,0.1708984673023224
55,56,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN56.npy,0.69412506,15.986345316707556,17.25,0.18170486727250687,0.14077146351337433
56,57,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN57.npy,0.6832295,17.777161912327102,21.830420329809932,0.24230854261730675,0.2550565302371979
57,58,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN58.npy,0.7315955,16.016156085886877,15.096564252665347,0.21610467324974225,0.19733984768390656
58,59,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN59.npy,0.49342984,14.672401724428415,11.097133955121766,0.15828047707017093,0.2289697378873825
59,60,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN60.npy,0.32033122,14.874160663332288,15.38863689582103,0.2577002459674685,0.1318448781967163
60,61,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN61.npy,0.29733816,15.455368542429335,19.701383728907516,0.20969142279739958,0.24669180810451508
61,62,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN62.npy,0.4490302,16.84029009351917,16.59728238701917,0.21085527753172725,0.20716223120689392
