cte_max_before,cte_max_after,steering_l2_before,steering_l2_after,time,mutation type,mutation method,episode
1.6227,2.5381,0.31406388960980686,0.99042081183561,03-22-20-34,XAI_FSC,attention_opposite,0
0.8378,0.3877,0.09495676350323101,0.03273078027454788,03-22-20-37,RANDOM_FSC,random,0
1.0006,0.7689,0.16630533177676424,0.11903213328627496,03-22-20-37,RANDOM_FSC,random,1
0.7238,0.9817,0.12689311517160148,0.16103197897698432,03-22-20-37,RANDOM_FSC,random,2
0.9516,1.0514,0.11561484071302436,0.10277662552633701,03-22-20-37,RANDOM_FSC,random,3
1.1431,2.1261,0.24454064697434405,0.5004950703453467,03-22-20-37,RANDOM_FSC,random,4
0.9517,1.3746,0.16010983894009093,0.23844733274925647,03-22-20-37,RANDOM_FSC,random,5
0.7052,0.4308,0.052125358140940665,0.03528416641829915,03-22-20-37,RANDOM_FSC,random,6
0.6997,0.341,0.0511634437113086,0.0363735127502423,03-22-20-37,RANDOM_FSC,random,7
0.3019,0.2801,0.019214843070233117,0.011389437595169576,03-22-20-37,RANDOM_FSC,random,8
0.4043,0.6845,0.03900651862279481,0.0602240064304832,03-22-20-37,RANDOM_FSC,random,9
1.9921,2.4383,0.38522721131583443,0.3987533540189972,03-22-20-37,RANDOM_FSC,random,10
0.7068,0.3856,0.053776177100559944,0.03626160023171664,03-22-20-37,RANDOM_FSC,random,11
2.0739,1.4957,0.3314873176944303,0.2699983085282337,03-22-20-37,RANDOM_FSC,random,12
0.8679,0.4753,0.10390724602545304,0.03695446924988675,03-22-20-52,XAI_FSC,random,0
1.2704,1.6943,0.3166601892781967,0.409562431209452,03-22-20-52,XAI_FSC,random,1
0.7218,0.9726,0.12255245609742589,0.15632684287934723,03-22-20-52,XAI_FSC,random,2
1.9007,2.6301,0.45816214029816854,1.0,03-22-20-52,XAI_FSC,random,3
1.1056,1.4123,0.20730914814473186,0.278142816572403,03-22-20-59,XAI_FSC,attention_same,0
1.4123,1.6935,0.278142816572403,0.342693833166074,03-22-20-59,XAI_FSC,attention_same,1
1.2957,1.3147,0.148018157475318,0.14214933554111345,03-22-20-59,XAI_FSC,attention_same,2
1.673,2.5817,0.30570678151290365,1.0,03-22-20-59,XAI_FSC,attention_same,3
0.8408,0.4721,0.0976843445645895,0.0343111157059887,03-22-21-05,XAI_FSC,attention_opposite,0
0.8643,1.0948,0.09222331672586905,0.16023092985528817,03-22-21-05,XAI_FSC,attention_opposite,1
1.0948,1.3641,0.16023092985528817,0.21168671594439425,03-22-21-05,XAI_FSC,attention_opposite,2
1.3641,nan,0.21168671594439425,nan,03-22-21-05,XAI_FSC,attention_opposite,3
1.0056,1.049,0.08301928118605137,0.10262642688821723,03-22-21-11,RANDOM_FSC,random,0
0.285,0.3288,0.00463738350876026,0.0044345843827454145,03-22-21-11,RANDOM_FSC,random,1
1.4025,1.1054,0.26104142925991586,0.14577529623286464,03-22-21-11,RANDOM_FSC,random,2
1.1054,0.9539,0.14577529623286464,0.08405856797790362,03-22-21-11,RANDOM_FSC,random,3
0.9539,0.8107,0.08405856797790362,0.0785357077127444,03-22-21-11,RANDOM_FSC,random,4
0.216,0.2463,0.014189583644977733,0.023161471662055625,03-22-21-11,RANDOM_FSC,random,5
0.5845,0.7956,0.06669760060704788,0.12273319765952694,03-22-21-11,RANDOM_FSC,random,6
1.1711,0.9317,0.11211014338371278,0.10786613660643621,03-22-21-11,RANDOM_FSC,random,7
1.0125,1.0259,0.09321706735646033,0.1355957870481655,03-22-21-11,RANDOM_FSC,random,8
0.3293,0.6416,0.025987971045350028,0.07272914214143414,03-22-21-11,RANDOM_FSC,random,9
1.0384,0.4993,0.09136963789798602,0.06013695110803307,03-22-21-11,RANDOM_FSC,random,10
0.4459,0.5252,0.030330049003226042,0.036632717294138833,03-22-21-11,RANDOM_FSC,random,11
0.4999,0.509,0.08366672936114013,0.09853743001216136,03-22-21-11,RANDOM_FSC,random,12
0.421,nan,0.030852379060155498,nan,03-22-21-11,RANDOM_FSC,random,13
1.8187,1.2193,0.31575148640769796,0.18375042996936142,03-22-21-27,XAI_FSC,random,0
1.2193,0.8637,0.18375042996936142,0.11496206822415121,03-22-21-27,XAI_FSC,random,1
0.8637,0.9819,0.11496206822415121,0.1039835285727977,03-22-21-27,XAI_FSC,random,2
1.0246,1.02,0.11786033973719048,0.15083457748444076,03-22-21-27,XAI_FSC,random,3
0.2912,0.344,0.005382859426758899,0.005304155425677971,03-22-21-27,XAI_FSC,random,4
0.9386,0.7536,0.08375358184974824,0.0787122160490784,03-22-21-27,XAI_FSC,random,5
1.8111,1.2594,0.2317842183567526,0.1730834857666413,03-22-21-27,XAI_FSC,random,6
1.0428,1.0974,0.0955032252282424,0.09288584321331216,03-22-21-27,XAI_FSC,random,7
1.1001,1.4343,0.1736057297314921,0.2814985718890015,03-22-21-27,XAI_FSC,random,8
1.122,0.7705,0.09382036592617507,0.07418278673239088,03-22-21-27,XAI_FSC,random,9
1.0736,0.9008,0.1366758758749535,0.12723678085999157,03-22-21-27,XAI_FSC,random,10
0.3422,nan,0.00743285796008893,nan,03-22-21-27,XAI_FSC,random,11
0.8643,nan,0.1082679618046837,nan,03-22-21-43,XAI_FSC,attention_same,0
1.8585,1.2205,0.32998696954215706,0.19116889594252182,03-22-21-45,XAI_FSC,attention_opposite,0
1.3013,0.9794,0.16375793071378414,0.08464869820650726,03-22-21-45,XAI_FSC,attention_opposite,1
1.2261,1.4844,0.19100383870480928,0.25890742633954505,03-22-21-45,XAI_FSC,attention_opposite,2
1.2499,0.8429,0.20820145969032766,0.11313172985322305,03-22-21-45,XAI_FSC,attention_opposite,3
1.4396,2.5256,0.2597998477660633,1.0,03-22-21-45,XAI_FSC,attention_opposite,4
1.3294,1.0155,0.1739873561902695,0.10006427133638374,03-22-21-53,RANDOM_FSC,random,0
0.4585,0.4123,0.03356766215174755,0.037721870728026664,03-22-21-53,RANDOM_FSC,random,1
1.1883,1.3476,0.19882035997609054,0.2957874121785329,03-22-21-53,RANDOM_FSC,random,2
0.4299,0.555,0.03831544206841107,0.038308103613870284,03-22-21-53,RANDOM_FSC,random,3
1.6405,1.0869,0.28022712458267546,0.20154439800573862,03-22-21-53,RANDOM_FSC,random,4
0.9658,0.4859,0.09468502730372517,0.041787133226776345,03-22-21-53,RANDOM_FSC,random,5
0.2118,0.1627,0.0014755416165728452,0.001971109500875806,03-22-21-53,RANDOM_FSC,random,6
1.9581,nan,0.35070773098735103,nan,03-22-21-53,RANDOM_FSC,random,7
0.5779,0.3591,0.03454646500198536,0.02642267803210505,03-22-22-03,XAI_FSC,random,0
1.2009,1.3252,0.20904280970007874,0.28682405703923874,03-22-22-03,XAI_FSC,random,1
1.3252,1.3793,0.28682405703923874,0.2864975973692591,03-22-22-03,XAI_FSC,random,2
0.4396,0.6124,0.04825742894270707,0.08104656144237982,03-22-22-03,XAI_FSC,random,3
1.2864,2.5069,0.251221273590448,1.0,03-22-22-03,XAI_FSC,random,4
0.6328,0.3744,0.03792328915606477,0.026035759683026315,03-22-22-10,XAI_FSC,attention_same,0
1.514,2.4753,0.28713509048964875,0.3690092204247175,03-22-22-10,XAI_FSC,attention_same,1
0.6447,0.3011,0.06804789049665044,0.02522725295258184,03-22-22-10,XAI_FSC,attention_same,2
1.9907,2.5951,0.4072607633436752,1.0,03-22-22-10,XAI_FSC,attention_same,3
0.5817,0.4588,0.06037204767091726,0.03488209486626659,03-22-22-16,XAI_FSC,attention_opposite,0
0.4588,0.4587,0.03488209486626659,0.04463129604481249,03-22-22-16,XAI_FSC,attention_opposite,1
0.5073,0.6549,0.061683200439178645,0.10991527008766529,03-22-22-16,XAI_FSC,attention_opposite,2
0.4735,0.3676,0.04413873323311678,0.037534184500118674,03-22-22-16,XAI_FSC,attention_opposite,3
0.976,0.9503,0.17712819738308536,0.113645544182186,03-22-22-16,XAI_FSC,attention_opposite,4
1.0811,1.8953,0.23623738537416716,0.4084679709908606,03-22-22-16,XAI_FSC,attention_opposite,5
1.2717,1.1527,0.25054409900148056,0.22252578301829853,03-22-22-16,XAI_FSC,attention_opposite,6
0.3438,0.482,0.021094219693368915,0.0455020341657989,03-22-22-16,XAI_FSC,attention_opposite,7
0.7832,1.0016,0.18492673944453142,0.20466956350527668,03-22-22-16,XAI_FSC,attention_opposite,8
0.6606,0.8853,0.08559801704066937,0.14162982258711654,03-22-22-16,XAI_FSC,attention_opposite,9
1.032,nan,0.21366892560173598,nan,03-22-22-16,XAI_FSC,attention_opposite,10
1.1115,0.8564,0.19974876112250373,0.11497621472675669,03-22-22-31,RANDOM_FSC,random,0
0.4364,0.3676,0.02494795674716552,0.014722565662938813,03-22-22-31,RANDOM_FSC,random,1
