Time,episode id,is success,seed,method_combi
03-23-19-16,4,0,30,XAI random FSC
03-23-19-23,3,0,30,XAI attention_same FSC
03-23-19-28,6,0,30,XAI attention_opposite FSC
03-23-19-37,19,0,31,RANDOM random
03-23-19-59,8,0,31,XAI random FSC
03-23-20-10,12,0,31,XAI attention_same FSC
03-23-20-26,11,0,31,XAI attention_opposite FSC
03-23-20-41,7,0,32,RANDOM random
03-23-20-50,2,0,32,XAI random FSC
03-23-20-54,2,0,32,XAI attention_same FSC
03-23-20-58,1,0,32,XAI attention_opposite FSC
03-23-21-01,19,0,33,RANDOM random
03-23-21-23,24,0,33,XAI random FSC
03-23-21-55,39,1,33,XAI attention_same FSC
03-23-22-47,39,1,33,XAI attention_opposite FSC
03-23-23-39,10,0,34,RANDOM random
03-23-23-51,6,0,34,XAI random FSC
03-24-00-00,4,0,34,XAI attention_same FSC
03-24-00-06,13,0,34,XAI attention_opposite FSC
03-24-00-23,2,0,35,RANDOM random
03-24-00-26,1,0,35,XAI random FSC
03-24-00-29,1,0,35,XAI attention_same FSC
03-24-00-32,1,0,35,XAI attention_opposite FSC
03-24-00-35,22,0,36,RANDOM random
03-24-00-59,8,0,36,XAI random FSC
03-24-01-10,4,0,36,XAI attention_same FSC
03-24-01-16,20,0,36,XAI attention_opposite FSC
03-24-01-42,15,0,37,RANDOM random
03-24-02-00,7,0,37,XAI random FSC
03-24-02-10,14,0,37,XAI attention_same FSC
03-24-02-28,14,0,37,XAI attention_opposite FSC
03-24-02-46,6,0,38,RANDOM random
03-24-02-54,9,0,38,XAI random FSC
03-24-03-06,3,0,38,XAI attention_same FSC
03-24-03-11,3,0,38,XAI attention_opposite FSC
03-24-03-16,10,0,39,RANDOM random
03-24-03-28,3,0,39,XAI random FSC
03-24-03-33,4,0,39,XAI attention_same FSC
03-24-03-40,4,0,39,XAI attention_opposite FSC
03-24-03-46,1,0,40,RANDOM random
03-24-03-49,1,0,40,XAI random FSC
03-24-03-51,0,0,40,XAI attention_same FSC
03-24-03-53,1,0,40,XAI attention_opposite FSC
03-24-03-55,30,0,41,RANDOM random
03-24-04-30,4,0,41,XAI random FSC
03-24-04-36,6,0,41,XAI attention_same FSC
03-24-04-44,6,0,41,XAI attention_opposite FSC
03-24-04-53,13,0,42,RANDOM random
03-24-05-08,3,0,42,XAI random FSC
03-24-05-13,1,0,42,XAI attention_same FSC
03-24-05-16,1,0,42,XAI attention_opposite FSC
03-24-05-18,1,0,43,RANDOM random
03-24-05-21,4,0,43,XAI random FSC
03-24-05-27,3,0,43,XAI attention_same FSC
03-24-05-33,1,0,43,XAI attention_opposite FSC
03-24-05-35,6,0,44,RANDOM random
03-24-05-43,7,0,44,XAI random FSC
03-24-05-53,12,0,44,XAI attention_same FSC
03-24-06-09,24,0,44,XAI attention_opposite FSC
03-24-06-40,17,0,45,RANDOM random
03-24-06-59,7,0,45,XAI random FSC
03-24-07-09,1,0,45,XAI attention_same FSC
03-24-07-12,11,0,45,XAI attention_opposite FSC
03-24-07-26,1,0,46,RANDOM random
03-24-07-29,1,0,46,XAI random FSC
03-24-07-31,1,0,46,XAI attention_same FSC
03-24-07-34,1,0,46,XAI attention_opposite FSC
03-24-07-37,21,0,47,RANDOM random
03-24-08-00,4,0,47,XAI random FSC
03-24-08-07,11,0,47,XAI attention_same FSC
03-24-08-21,6,0,47,XAI attention_opposite FSC
03-24-08-30,9,0,48,RANDOM random
03-24-08-41,12,0,48,XAI random FSC
03-24-08-57,15,0,48,XAI attention_same FSC
03-24-09-16,10,0,48,XAI attention_opposite FSC
