,Time,episode id,is success,seed,method_combi
231,03-24-17-51,16,0,58,XAI attention_opposite FSC
235,03-24-18-36,3,0,59,XAI attention_opposite FSC
239,03-24-19-16,15,0,60,XAI attention_opposite FSC
242,03-28-09-56,9,0,1,XAI attention_opposite GC
245,03-28-10-25,7,0,2,XAI attention_opposite GC
248,03-28-11-23,1,0,3,XAI attention_opposite GC
251,03-28-11-38,6,0,4,XAI attention_opposite GC
254,03-28-12-16,5,0,5,XAI attention_opposite GC
257,03-28-12-32,3,0,6,XAI attention_opposite GC
260,03-28-13-39,39,1,7,XAI attention_opposite GC
263,03-28-14-35,5,0,8,XAI attention_opposite GC
266,03-28-14-48,3,0,9,XAI attention_opposite GC
269,03-28-15-00,3,0,10,XAI attention_opposite GC
272,03-28-16-00,39,1,11,XAI attention_opposite GC
275,03-28-16-56,4,0,12,XAI attention_opposite GC
278,03-28-18-28,39,1,13,XAI attention_opposite GC
281,03-28-19-29,9,0,14,XAI attention_opposite GC
284,03-28-19-44,9,0,15,XAI attention_opposite GC
287,03-28-20-19,8,0,16,XAI attention_opposite GC
290,03-28-20-55,9,0,17,XAI attention_opposite GC
293,03-28-21-12,1,0,18,XAI attention_opposite GC
299,03-28-21-38,8,0,20,XAI attention_opposite GC
302,03-28-21-59,2,0,21,XAI attention_opposite GC
305,03-28-22-17,2,0,22,XAI attention_opposite GC
311,03-28-22-41,7,0,24,XAI attention_opposite GC
314,03-28-23-02,6,0,25,XAI attention_opposite GC
317,03-28-23-28,1,0,26,XAI attention_opposite GC
320,03-28-23-51,5,0,27,XAI attention_opposite GC
323,03-29-00-11,2,0,28,XAI attention_opposite GC
326,03-29-00-37,2,0,29,XAI attention_opposite GC
329,03-29-00-55,2,0,30,XAI attention_opposite GC
332,03-29-01-09,4,0,31,XAI attention_opposite GC
335,03-29-01-30,22,0,32,XAI attention_opposite GC
338,03-29-02-13,6,0,33,XAI attention_opposite GC
341,03-29-02-31,8,0,34,XAI attention_opposite GC
344,03-29-02-46,1,0,35,XAI attention_opposite GC
347,03-29-03-08,9,0,36,XAI attention_opposite GC
350,03-29-03-37,6,0,37,XAI attention_opposite GC
353,03-29-04-15,9,0,38,XAI attention_opposite GC
356,03-29-04-33,6,0,39,XAI attention_opposite GC
362,03-29-05-17,3,0,41,XAI attention_opposite GC
365,03-29-05-26,1,0,42,XAI attention_opposite GC
371,03-29-06-23,3,0,44,XAI attention_opposite GC
374,03-29-06-41,4,0,45,XAI attention_opposite GC
377,03-29-06-59,2,0,46,XAI attention_opposite GC
