,Time,episode id,is success,seed,method_combi
113,03-23-18-44,4,0,29,XAI random FSC
117,03-23-19-16,4,0,30,XAI random FSC
121,03-23-19-59,8,0,31,XAI random FSC
125,03-23-20-50,2,0,32,XAI random FSC
129,03-23-21-23,24,0,33,XAI random FSC
133,03-23-23-51,6,0,34,XAI random FSC
137,03-24-00-26,1,0,35,XAI random FSC
141,03-24-00-59,8,0,36,XAI random FSC
145,03-24-02-00,7,0,37,XAI random FSC
149,03-24-02-54,9,0,38,XAI random FSC
153,03-24-03-28,3,0,39,XAI random FSC
161,03-24-04-30,4,0,41,XAI random FSC
165,03-24-05-08,3,0,42,XAI random FSC
173,03-24-05-43,7,0,44,XAI random FSC
177,03-24-06-59,7,0,45,XAI random FSC
181,03-24-07-29,1,0,46,XAI random FSC
185,03-24-08-00,4,0,47,XAI random FSC
189,03-24-08-41,12,0,48,XAI random FSC
193,03-24-10-11,6,0,49,XAI random FSC
201,03-24-11-03,2,0,51,XAI random FSC
205,03-24-11-22,3,0,52,XAI random FSC
209,03-24-12-00,6,0,53,XAI random FSC
213,03-24-13-07,10,0,54,XAI random FSC
217,03-24-14-10,4,0,55,XAI random FSC
221,03-24-15-21,4,0,56,XAI random FSC
225,03-24-16-30,7,0,57,XAI random FSC
229,03-24-17-27,11,0,58,XAI random FSC
233,03-24-18-17,10,0,59,XAI random FSC
237,03-24-18-55,7,0,60,XAI random FSC
240,03-28-09-48,2,0,1,XAI random GC
243,03-28-10-07,8,0,2,XAI random GC
246,03-28-10-33,39,1,3,XAI random GC
249,03-28-11-25,2,0,4,XAI random GC
252,03-28-11-46,18,0,5,XAI random GC
255,03-28-12-22,3,0,6,XAI random GC
258,03-28-12-36,18,0,7,XAI random GC
261,03-28-14-22,5,0,8,XAI random GC
264,03-28-14-41,2,0,9,XAI random GC
267,03-28-14-53,2,0,10,XAI random GC
270,03-28-15-05,9,0,11,XAI random GC
273,03-28-16-44,2,0,12,XAI random GC
276,03-28-17-01,39,1,13,XAI random GC
279,03-28-19-11,11,0,14,XAI random GC
282,03-28-19-40,1,0,15,XAI random GC
285,03-28-19-55,14,0,16,XAI random GC
288,03-28-20-28,10,0,17,XAI random GC
291,03-28-21-06,1,0,18,XAI random GC
297,03-28-21-20,5,0,20,XAI random GC
300,03-28-21-48,6,0,21,XAI random GC
303,03-28-22-02,9,0,22,XAI random GC
309,03-28-22-33,4,0,24,XAI random GC
312,03-28-22-50,3,0,25,XAI random GC
315,03-28-23-10,13,0,26,XAI random GC
318,03-28-23-30,11,0,27,XAI random GC
321,03-28-23-57,3,0,28,XAI random GC
324,03-29-00-14,5,0,29,XAI random GC
327,03-29-00-40,1,0,30,XAI random GC
330,03-29-00-59,3,0,31,XAI random GC
333,03-29-01-14,7,0,32,XAI random GC
336,03-29-01-56,5,0,33,XAI random GC
339,03-29-02-21,4,0,34,XAI random GC
342,03-29-02-41,1,0,35,XAI random GC
345,03-29-02-49,8,0,36,XAI random GC
348,03-29-03-18,1,0,37,XAI random GC
351,03-29-03-45,15,0,38,XAI random GC
354,03-29-04-25,3,0,39,XAI random GC
360,03-29-04-52,15,0,41,XAI random GC
363,03-29-05-21,1,0,42,XAI random GC
369,03-29-05-34,39,1,44,XAI random GC
372,03-29-06-28,1,0,45,XAI random GC
375,03-29-06-47,4,0,46,XAI random GC
378,03-29-07-02,8,0,47,XAI random GC
381,03-29-07-34,4,0,48,XAI random GC
384,03-29-08-07,7,0,49,XAI random GC
390,03-29-09-09,2,0,51,XAI random GC
393,03-29-09-23,4,0,52,XAI random GC
396,03-29-09-53,3,0,53,XAI random GC
399,03-29-10-08,18,0,54,XAI random GC
402,03-29-10-47,4,0,55,XAI random GC
405,03-29-11-14,2,0,56,XAI random GC
408,03-29-11-24,3,0,57,XAI random GC
411,03-29-11-46,14,0,58,XAI random GC
414,03-29-12-30,6,0,59,XAI random GC
417,03-29-12-46,9,0,60,XAI random GC
420,03-30-15-27,10,0,1,XAI random IG
423,03-30-15-57,4,0,2,XAI random IG
426,03-30-16-18,1,0,3,XAI random IG
429,03-30-16-25,4,0,4,XAI random IG
432,03-30-16-45,1,0,5,XAI random IG
435,03-30-16-56,9,0,6,XAI random IG
438,03-30-17-19,39,1,7,XAI random IG
441,03-30-19-24,22,0,8,XAI random IG
444,03-30-21-02,4,0,9,XAI random IG
447,03-30-21-23,11,0,10,XAI random IG
450,03-30-21-46,3,0,11,XAI random IG
453,03-30-22-43,3,0,12,XAI random IG
456,03-30-23-15,39,1,13,XAI random IG
459,03-31-01-26,2,0,14,XAI random IG
462,03-31-01-48,1,0,15,XAI random IG
465,03-31-01-54,4,0,16,XAI random IG
468,03-31-03-25,2,0,17,XAI random IG
471,03-31-03-42,1,0,18,XAI random IG
477,03-31-04-11,16,0,20,XAI random IG
480,03-31-05-32,10,0,21,XAI random IG
483,03-31-05-52,5,0,22,XAI random IG
489,03-31-06-24,39,1,24,XAI random IG
492,03-31-07-23,3,0,25,XAI random IG
495,03-31-07-42,11,0,26,XAI random IG
498,03-31-08-16,27,0,27,XAI random IG
501,03-31-09-32,3,0,28,XAI random IG
504,03-31-10-01,4,0,29,XAI random IG
507,03-31-11-07,9,0,30,XAI random IG
510,03-31-11-29,4,0,31,XAI random IG
513,03-31-11-55,4,0,32,XAI random IG
516,03-31-12-06,21,0,33,XAI random IG
519,03-31-14-08,9,0,34,XAI random IG
522,03-31-14-39,1,0,35,XAI random IG
525,03-31-14-47,7,0,36,XAI random IG
528,03-31-15-27,16,0,37,XAI random IG
531,03-31-16-11,16,0,38,XAI random IG
534,03-31-16-56,15,0,39,XAI random IG
540,03-31-17-27,1,0,41,XAI random IG
543,03-31-18-54,16,0,42,XAI random IG
549,03-31-19-40,4,0,44,XAI random IG
552,03-31-20-17,26,0,45,XAI random IG
555,03-31-21-08,1,0,46,XAI random IG
558,03-31-21-15,10,0,47,XAI random IG
561,03-31-21-45,4,0,48,XAI random IG
564,03-31-22-01,6,0,49,XAI random IG
570,03-31-22-32,1,0,51,XAI random IG
573,03-31-22-42,8,0,52,XAI random IG
576,03-31-23-04,12,0,53,XAI random IG
579,03-31-23-40,19,0,54,XAI random IG
582,04-01-00-44,4,0,55,XAI random IG
585,04-01-01-07,4,0,56,XAI random IG
588,04-01-01-32,6,0,57,XAI random IG
591,04-01-02-07,19,0,58,XAI random IG
594,04-01-03-07,6,0,59,XAI random IG
597,04-01-03-23,8,0,60,XAI random IG
600,03-25-19-59,2,0,1,XAI random SM
603,03-25-20-23,7,0,2,XAI random SM
606,03-25-21-03,6,0,3,XAI random SM
609,03-25-21-29,4,0,4,XAI random SM
612,03-25-21-51,2,0,5,XAI random SM
615,03-25-21-59,7,0,6,XAI random SM
618,03-25-22-21,39,1,7,XAI random SM
621,03-26-00-37,22,0,8,XAI random SM
624,03-26-01-58,5,0,9,XAI random SM
627,03-26-02-15,1,0,10,XAI random SM
630,03-26-02-23,9,0,11,XAI random SM
633,03-26-03-35,5,0,12,XAI random SM
636,03-26-03-51,39,1,13,XAI random SM
639,03-26-06-10,9,0,14,XAI random SM
642,03-26-07-06,1,0,15,XAI random SM
645,03-26-07-13,13,0,16,XAI random SM
648,03-26-07-45,5,0,17,XAI random SM
651,03-26-08-01,1,0,18,XAI random SM
657,03-26-08-30,14,0,20,XAI random SM
660,03-26-09-19,10,0,21,XAI random SM
663,03-26-09-40,10,0,22,XAI random SM
669,03-26-10-23,15,0,24,XAI random SM
672,03-26-11-38,11,0,25,XAI random SM
675,03-26-12-50,7,0,26,XAI random SM
678,03-26-13-29,10,0,27,XAI random SM
681,03-26-14-34,3,0,28,XAI random SM
684,03-26-14-58,5,0,29,XAI random SM
687,03-26-15-30,11,0,30,XAI random SM
690,03-26-15-58,8,0,31,XAI random SM
693,03-26-16-26,1,0,32,XAI random SM
696,03-26-16-35,19,0,33,XAI random SM
699,03-26-17-22,6,0,34,XAI random SM
702,03-26-17-52,1,0,35,XAI random SM
705,03-26-18-00,30,0,36,XAI random SM
708,03-26-19-12,5,0,37,XAI random SM
711,03-26-19-54,17,0,38,XAI random SM
714,03-26-20-36,9,0,39,XAI random SM
720,03-26-21-26,39,0,41,XAI random SM
723,03-26-22-47,9,0,42,XAI random SM
729,03-26-23-29,3,0,44,XAI random SM
732,03-27-00-13,5,0,45,XAI random SM
735,03-27-18-49,39,1,46,XAI random SM
738,03-27-19-54,3,0,47,XAI random SM
741,03-27-20-18,2,0,48,XAI random SM
744,03-27-20-46,10,0,49,XAI random SM
750,03-27-21-39,1,0,51,XAI random SM
753,03-27-21-50,3,0,52,XAI random SM
756,03-27-22-34,2,0,53,XAI random SM
759,03-27-23-06,14,0,54,XAI random SM
762,03-27-23-57,7,0,55,XAI random SM
765,03-28-00-27,8,0,56,XAI random SM
768,03-28-01-26,5,0,57,XAI random SM
771,03-28-01-57,11,0,58,XAI random SM
774,03-28-02-51,8,0,59,XAI random SM
777,03-28-03-11,9,0,60,XAI random SM
